scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_orderer,0.0,0.0,8.6,8.77,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org1,0.0,0.0,9.39,10.6,6.68e-05,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org2,0.0,0.0,9.54,10.8,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,ORDERERS_AGG,0.178,0.374,185.7,197.1,404.7,441.04,,754.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderers_agg
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,2.25,3.41,73.1,74.3,31.4,23.2,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.0,0.0,50.7,50.7,0.00542,0.00441,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org2.example.com,0.93,3.28,233.0,294.0,51.0,12.9,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org1.example.com,4.75,9.02,256.0,315.0,155.0,146.0,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer9.example.com,0.26,0.64,131.0,176.0,51.5,5.3,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer2.example.com,0.19,0.47,131.0,178.0,51.5,5.33,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer10.example.com,0.2,0.56,139.0,193.0,51.4,5.18,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer.example.com,0.18,0.5,142.0,199.0,51.8,51.8,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer8.example.com,0.16,0.53,134.0,181.0,51.1,4.92,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer3.example.com,0.22,0.6,139.0,194.0,51.4,5.21,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer4.example.com,0.19,0.57,136.0,204.0,51.1,4.91,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
