consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,1.08,18.80414,20.50378,0.0,60,2.5072186666666667,2.7338373333333332
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,3.645,15.440000000000001,18.84,33.4,60,2.058666666666667,2.512
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,4,orderer,7,0.3,292.8,329.34000000000003,527.8000000000001,60,39.04,43.912000000000006
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,4,peer,2,3.175,172.5,114.38,82.4,60,23.0,15.250666666666666
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,5,ca,3,0.0,0.00072,0.0,0.0,60,9.6e-05,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,5,chaincode,2,1.105,18.80402,20.50372,0.0,60,2.5072026666666667,2.7338293333333334
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,5,couchdb,2,3.6449999999999996,15.469999999999999,18.83,33.2,60,2.0626666666666664,2.5106666666666664
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,5,orderer,7,0.3071428571428572,293.0,329.34999999999997,527.8000000000001,60,39.06666666666667,43.91333333333333
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,5,peer,2,3.395,172.5,114.41,82.4,60,23.0,15.254666666666667
Raft,100,100,7,submitEvidence,SUBMIT,1,ca,3,0.0,0.0017820000000000002,0.0,0.0,60,0.00023760000000000003,0.0
Raft,100,100,7,submitEvidence,SUBMIT,1,chaincode,2,1.245,31.40449,23.20383,0.0,60,4.187265333333333,3.093844
Raft,100,100,7,submitEvidence,SUBMIT,1,couchdb,2,2.21,27.4,11.17,41.6,60,3.6533333333333333,1.4893333333333334
Raft,100,100,7,submitEvidence,SUBMIT,1,orderer,7,0.22428571428571428,370.4,416.62,679.6999999999999,60,49.38666666666666,55.54933333333334
Raft,100,100,7,submitEvidence,SUBMIT,1,peer,2,2.68,206.0,158.9,98.6,60,27.466666666666665,21.186666666666667
Raft,100,100,7,submitEvidence,SUBMIT,2,ca,3,0.0,0.00309,0.0,0.0,60,0.000412,0.0
Raft,100,100,7,submitEvidence,SUBMIT,2,chaincode,2,1.175,31.40484,23.20376,0.0,60,4.187312,3.0938346666666665
Raft,100,100,7,submitEvidence,SUBMIT,2,couchdb,2,2.6,27.5,11.16,41.6,60,3.6666666666666665,1.488
Raft,100,100,7,submitEvidence,SUBMIT,2,orderer,7,0.25857142857142856,370.5,416.2,680.4,60,49.4,55.49333333333333
Raft,100,100,7,submitEvidence,SUBMIT,2,peer,2,2.625,206.0,158.9,98.6,60,27.466666666666665,21.186666666666667
Raft,100,100,7,submitEvidence,SUBMIT,3,ca,3,0.0,0.0017820000000000002,0.0,0.0,60,0.00023760000000000003,0.0
Raft,100,100,7,submitEvidence,SUBMIT,3,chaincode,2,1.02,31.30433,23.20374,0.0,60,4.173910666666667,3.093832
Raft,100,100,7,submitEvidence,SUBMIT,3,couchdb,2,4.135,27.5,11.17,41.6,60,3.6666666666666665,1.4893333333333334
Raft,100,100,7,submitEvidence,SUBMIT,3,orderer,7,0.33142857142857146,370.1,416.59,680.4,60,49.34666666666667,55.54533333333333
Raft,100,100,7,submitEvidence,SUBMIT,3,peer,2,3.05,205.0,157.9,98.6,60,27.333333333333332,21.053333333333335
Raft,100,100,7,submitEvidence,SUBMIT,4,ca,3,0.0,0.00201,0.0,0.0,60,0.000268,0.0
Raft,100,100,7,submitEvidence,SUBMIT,4,chaincode,2,1.135,31.30452,23.203799999999998,0.0,60,4.173936,3.0938399999999997
