scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k2_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.82,0.47,1.69,97.6,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.69,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.04,0.76,1.87,97.4,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.87,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.81,0.52,1.69,97.7,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.69,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.25,0.51,1.7,97.9,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.7,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.84,0.61,1.7,97.6,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.7,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.31,0.79,1.97,97.3,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.97,6005,0.0
Raft_b100_tps100_k2_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.81,0.59,1.68,97.8,Raft_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k2_unsplit_highimpact-nested,1.68,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.09,0.72,1.85,97.7,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.85,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.82,0.55,1.66,97.7,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.66,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.19,0.71,1.83,97.4,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.83,6005,0.0
