scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s,succ,fail,throughput_tps,orderer_cpu_avg_per_tps,orderer_cpu_cluster_per_tps,orderer_mb_total_sum,orderer_mb_total_per_tx,orderer_mb_in_per_tx,orderer_mb_out_per_tx,orderer_bw_total_mbps,orderer_in_out_ratio
Raft_b100_tps50,Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.28750000000000003,0.48,161.5,174.0,89.7,107.86,149.2,0.0,62.34439834024896,11.510256239600666,13.840537770382696,2.3931580698835275,3005,0,48.2,0.005964730290456432,0.023858921161825728,197.56,0.06574376039933444,0.029850249584026625,0.03589351081530782,25.35079400998336,0.8316335991099574
Raft_b100_tps50,Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.27749999999999997,0.53,163.5,175.0,89.7,107.88999999999999,149.2,0.0,62.21532091097309,11.534136439267886,13.873110149750413,2.3981231281198,3005,0,48.3,0.005745341614906832,0.02298136645962733,197.58999999999997,0.06575374376039933,0.029850249584026625,0.03590349417637271,25.4072465890183,0.8314023542496989
Raft_b100_tps50,Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.27249999999999996,0.59,162.5,176.0,89.8,107.93,149.2,0.0,62.34439834024896,11.523088186356073,13.849520133111483,2.3931580698835275,3005,0,48.2,0.005653526970954356,0.022614107883817423,197.73000000000002,0.06580033277870218,0.029883527454242928,0.03591680532445924,25.372608319467556,0.8320207541925321
Raft_b100_tps50,Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.28250000000000003,0.6,162.5,180.0,89.7,107.96000000000001,149.2,0.0,62.21532091097309,11.534136439267886,13.882111148086523,2.3981231281198,3005,0,48.3,0.005848861283643893,0.023395445134575574,197.66000000000003,0.06577703826955075,0.029850249584026625,0.03592678868552413,25.41624758735441,0.8308632826972953
Raft_b100_tps50,Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.27,0.55,160.25,175.0,89.7,107.95,149.2,0.0,62.21532091097309,11.534136439267886,13.880825291181363,2.3981231281198,3005,0,48.3,0.0055900621118012426,0.02236024844720497,197.65,0.06577371048252913,0.029850249584026625,0.0359234608985025,25.41496173044925,0.8309402501157944
Raft_b100_tps50,Raft,100,50,submitEvidence,SUBMIT,1,orderer,4,0.2825,0.55,104.975,139.0,113.3,136.32999999999998,192.0,0.0,62.25672877846791,14.559068839374792,17.518427668772862,3.0840039906883936,3007,0,48.3,0.0058488612836438926,0.02339544513457557,249.63,0.08301629531094114,0.03767874958430329,0.04533754572663784,32.077496508147654,0.8310716643438716
Raft_b100_tps50,Raft,100,50,submitEvidence,SUBMIT,2,orderer,4,0.33,0.58,103.425,143.0,113.3,136.18,192.0,0.0,62.21532091097309,14.56875873544093,17.510799334442595,3.0860565723793676,3005,0,48.3,0.006832298136645963,0.027329192546583853,249.48000000000002,0.08302163061564061,0.037703826955074876,0.045317803660565724,32.079558069883525,0.8319870759289175
Raft_b100_tps50,Raft,100,50,submitEvidence,SUBMIT,3,orderer,4,0.3125,0.64,102.95,136.0,113.2,136.28,192.0,0.0,62.086776859504134,14.586036605657238,17.5599387687188,3.0924459234608985,3005,0,48.4,0.006456611570247934,0.025826446280991736,249.48000000000002,0.08302163061564061,0.03767054908485857,0.04535108153078203,32.145975374376036,0.8306427942471383
Raft_b100_tps50,Raft,100,50,submitEvidence,SUBMIT,4,orderer,4,0.3075,0.61,102.175,137.0,113.1,136.24,192.0,0.0,62.21532091097309,14.543041597337767,17.518514475873545,3.0860565723793676,3005,0,48.3,0.006366459627329193,0.02546583850931677,249.34,0.08297504159733778,0.03763727121464226,0.045337770382695514,32.061556073211314,0.8301526717557249
Raft_b100_tps50,Raft,100,50,submitEvidence,SUBMIT,5,orderer,4,0.2925,0.62,102.6,138.0,113.0,136.05,192.0,0.0,62.236024844720504,14.525349301397204,17.48826347305389,3.0850299401197603,3006,0,48.3,0.006055900621118012,0.02422360248447205,249.05,0.08285096473719229,0.03759148369926813,0.045259481037924154,32.0136127744511,0.830576993752297
