scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,4.77,11.82,255.0,270.0,258.8,170.1,119.2,0.0,62.14630779848171,33.314931704608554,21.89671515824542,1.9180544142143254
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.0,9.083333333333334,9.53,6.68e-05,0.0,0.0,0.0,62.14630779848171,8.5990627429206e-06,0.0,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,1.605,5.18,75.65,76.9,27.604750000000003,30.50475,0.0,0.0,62.14630779848171,3.553517623542477,3.926830227651305,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,4.505,8.85,55.95,58.2,23.4,29.3,62.0,0.0,62.14630779848171,3.012246529705719,3.771744586340922,0.9976457523598001
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.8275,1.38,176.5,184.0,267.5,322.7,448.0,0.0,62.14630779848171,34.43486951693504,41.54068184342032,7.208795113825653
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,4.315,9.78,256.5,282.0,258.9,170.1,119.2,0.0,62.14630779848171,33.3278045530261,21.89671515824542,1.9180544142143254
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.0,9.3,11.0,0.0007869999999999999,0.0,0.0,0.0,62.18922651933701,0.00010123940033314825,0.0,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,1.67,5.91,77.0,79.2,27.20488,30.404639999999997,0.0,0.0,62.18922651933701,3.4996260957245977,3.9112420850638534,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,5.220000000000001,10.63,56.0,59.0,23.5,29.3,62.2,0.0,62.18922651933701,3.0230316490838427,3.769141588006663,1.0001732370905054
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.845,1.61,181.25,192.0,266.7,321.9,448.0,0.0,62.18922651933701,34.30819322598556,41.409101610216545,7.203820099944476
