consensus,batch,tps,round_label,phase,role,cpu_avg_mean__n,cpu_avg_mean__mean,cpu_avg_mean__ci95_low,cpu_avg_mean__ci95_high,cpu_max_peak__n,cpu_max_peak__mean,cpu_max_peak__ci95_low,cpu_max_peak__ci95_high,mem_avg_mb_mean__n,mem_avg_mb_mean__mean,mem_avg_mb_mean__ci95_low,mem_avg_mb_mean__ci95_high,mem_max_mb_peak__n,mem_max_mb_peak__mean,mem_max_mb_peak__ci95_low,mem_max_mb_peak__ci95_high,traffic_in_mb_sum__n,traffic_in_mb_sum__mean,traffic_in_mb_sum__ci95_low,traffic_in_mb_sum__ci95_high,traffic_out_mb_sum__n,traffic_out_mb_sum__mean,traffic_out_mb_sum__ci95_low,traffic_out_mb_sum__ci95_high,traffic_in_mbps__n,traffic_in_mbps__mean,traffic_in_mbps__ci95_low,traffic_in_mbps__ci95_high,traffic_out_mbps__n,traffic_out_mbps__mean,traffic_out_mbps__ci95_low,traffic_out_mbps__ci95_high,disk_write_mb_sum__n,disk_write_mb_sum__mean,disk_write_mb_sum__ci95_low,disk_write_mb_sum__ci95_high,disk_write_mb_per_s__n,disk_write_mb_per_s__mean,disk_write_mb_per_s__ci95_low,disk_write_mb_per_s__ci95_high,disk_read_b_sum__n,disk_read_b_sum__mean,disk_read_b_sum__ci95_low,disk_read_b_sum__ci95_high
SmartBFT,300,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.104,9.898263624891788,10.30973637510821,5.0,11.000000000000002,10.578998755346259,11.421001244653745,5.0,0.0016852,0.0003766578488406879,0.0029937421511593123,5.0,0.0,0.0,0.0,5.0,0.00021922539486159137,4.9539367872413414e-05,0.0003889114218507693,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,300,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.002,-0.0035519999999999996,0.007552,5.0,10.338,9.898309874983148,10.77769012501685,5.0,10.98,10.670877722575678,11.289122277424323,5.0,0.0005418,-0.00013232369367812595,0.001215923693678126,5.0,0.0,0.0,0.0,5.0,6.983768128817326e-05,-1.6953684249335494e-05,0.000156629046825682,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
SmartBFT,300,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.014000000000000002,-0.004827748033155738,0.032827748033155746,5.0,10.0,9.771047774338061,10.228952225661939,5.0,11.0,10.767743176634141,11.232256823365859,5.0,0.00096676,-0.00019921993890882042,0.0021327399389088203,5.0,0.0,0.0,0.0,5.0,0.0001017517001899241,-2.254485288609548e-05,0.0002260482532659437,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,50,submitEvidence,SUBMIT,chaincode,5.0,0.5589999999999999,0.5300842586814725,0.5879157413185274,5.0,2.53,1.8477588180122808,3.212241181987719,5.0,60.85,60.56217819401581,61.137821805984196,5.0,72.08,71.87600649422102,72.28399350577898,5.0,15.845176,15.77703760345996,15.913314396540041,5.0,11.644753999999999,11.576737992707116,11.712770007292882,5.0,2.03746290156406,2.027952763443101,2.0469730396850188,5.0,1.4973487286522462,1.4881936572226904,1.506503800081802,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,100,submitEvidence,SUBMIT,chaincode,5.0,0.9640000000000001,0.7643305192674656,1.1636694807325345,5.0,4.322,2.8419623813213404,5.80203761867866,5.0,61.879999999999995,61.3168755533632,62.443124446636794,5.0,74.2,73.49225609151333,74.90774390848668,5.0,30.825908,30.62283566257875,31.028980337421245,5.0,22.885478,22.830637832002175,22.940318167997823,5.0,3.374537287922003,2.889388201878996,3.8596863739650096,5.0,2.5044977766341123,2.1549404628066986,2.854055090461526,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,150,submitEvidence,SUBMIT,chaincode,5.0,0.925,0.8732516071747152,0.9767483928252849,5.0,5.7219999999999995,4.353558699576777,7.090441300423222,5.0,63.6,62.36866327594764,64.83133672405236,5.0,78.58,75.51581905912852,81.64418094087148,5.0,44.70931,44.4774703264971,44.941149673502906,5.0,33.82836999999999,33.7733773937567,33.88336260624329,5.0,3.7434577455103573,3.4396605842083585,4.047254906812356,5.0,2.8328855532228294,2.5926613158601883,3.0731097905854705,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,200,submitEvidence,SUBMIT,chaincode,5.0,1.327,1.2188962724786976,1.4351037275213023,5.0,7.43,5.662339630268303,9.197660369731697,5.0,65.03,63.995404501073004,66.06459549892699,5.0,81.88,80.70093505250982,83.05906494749017,5.0,58.489132,58.30454300908546,58.67372099091454,5.0,44.828294,44.77257668443489,44.88401131556511,5.0,12.322550358168712,9.361118500607727,15.283982215729697,5.0,9.446304270342683,7.165018801540551,11.727589739144815,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,50,submitEvidence,SUBMIT,chaincode,5.0,0.5740000000000001,0.5322675692536369,0.6157324307463632,5.0,2.6100000000000003,1.7314497236014326,3.488550276398568,5.0,60.8,60.515544646736956,61.08445535326304,5.0,72.14000000000001,71.58758297491842,72.69241702508161,5.0,15.805552000000002,15.804878718411791,15.806225281588214,5.0,11.604821999999999,11.604738535138505,11.604905464861492,5.0,2.032803780285208,2.0301310379945567,2.035476522575859,5.0,1.4925341653912878,1.4905421905138387,1.4945261402687369,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,100,submitEvidence,SUBMIT,chaincode,5.0,1.121,1.0914255012553045,1.1505744987446955,5.0,4.428,3.6973580656545915,5.158641934345408,5.0,61.59000000000001,60.976447477716874,62.20355252228315,5.0,73.75999999999999,72.81208643769591,74.70791356230407,5.0,31.34516,31.234314245959453,31.456005754040547,5.0,23.184734,23.129294470292134,23.240173529707864,5.0,4.033765764007848,4.016574793474462,4.050956734541234,5.0,2.983610533321998,2.9742387316884047,2.9929823349555917,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,150,submitEvidence,SUBMIT,chaincode,5.0,1.8689999999999998,1.7234650394716098,2.0145349605283895,5.0,6.867999999999999,5.030686411767441,8.705313588232558,5.0,63.46,62.94363415140038,63.97636584859962,5.0,79.47999999999999,78.0579941693509,80.90200583064907,5.0,45.965348000000006,45.74009476831728,46.190601231682734,5.0,34.46472,34.39673347032031,34.53270652967969,5.0,5.9000681253991925,5.852691734514864,5.947444516283521,5.0,4.423841729728373,4.3996301182466375,4.448053341210109,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
