consensus,batch,tps,round_label,phase,orderer_cpu_avg_per_tps__n,orderer_cpu_avg_per_tps__mean,orderer_cpu_avg_per_tps__ci95_low,orderer_cpu_avg_per_tps__ci95_high,orderer_cpu_avg_per_tps__sd,orderer_cpu_cluster_per_tps__n,orderer_cpu_cluster_per_tps__mean,orderer_cpu_cluster_per_tps__ci95_low,orderer_cpu_cluster_per_tps__ci95_high,orderer_cpu_cluster_per_tps__sd,orderer_mb_total_per_tx__n,orderer_mb_total_per_tx__mean,orderer_mb_total_per_tx__ci95_low,orderer_mb_total_per_tx__ci95_high,orderer_mb_total_per_tx__sd,orderer_mb_in_per_tx__n,orderer_mb_in_per_tx__mean,orderer_mb_in_per_tx__ci95_low,orderer_mb_in_per_tx__ci95_high,orderer_mb_in_per_tx__sd,orderer_mb_out_per_tx__n,orderer_mb_out_per_tx__mean,orderer_mb_out_per_tx__ci95_low,orderer_mb_out_per_tx__ci95_high,orderer_mb_out_per_tx__sd,orderer_in_out_ratio__n,orderer_in_out_ratio__mean,orderer_in_out_ratio__ci95_low,orderer_in_out_ratio__ci95_high,orderer_in_out_ratio__sd,orderer_bw_total_mbps__n,orderer_bw_total_mbps__mean,orderer_bw_total_mbps__ci95_low,orderer_bw_total_mbps__ci95_high,orderer_bw_total_mbps__sd
SmartBFT,300,50,submitEvidence,SUBMIT,5.0,0.01851119210944533,0.017333587839798454,0.019688796379092207,0.0009485602296557656,5.0,0.07404476843778132,0.06933435135919382,0.07875518551636883,0.0037942409186230625,5.0,0.10057371048252912,0.09874009847815653,0.10240732248690172,0.0014769744546602227,5.0,0.05796339434276206,0.05706185501053055,0.058864933674993576,0.0007261899248052675,5.0,0.042610316139767054,0.04167816483168156,0.04354246744785255,0.0007508478711075341,5.0,1.3604119946283093,1.351742129793525,1.3690818594630936,0.0069835760541472605,5.0,39.42487747088187,38.70440041585178,40.145354525911955,0.5803442619870802
SmartBFT,300,100,submitEvidence,SUBMIT,5.0,0.023337326458411585,0.01836703336533861,0.02830761955148456,0.004003571046184748,5.0,0.09334930583364634,0.07346813346135445,0.11323047820593823,0.01601428418473899,5.0,0.10552180264919649,0.10322223866487579,0.10782136663351718,0.0018522987707317465,5.0,0.060447572410936276,0.05930257191222787,0.061592572909644684,0.0009222978924290901,5.0,0.04507423023826022,0.043918616614609995,0.04622984386191044,0.0009308467644837026,5.0,1.341186848123343,1.3320704477061285,1.3503032485405577,0.00734326046217563,5.0,82.62392926041487,81.018238345935,84.22962017489473,1.293384018598986
SmartBFT,300,150,submitEvidence,SUBMIT,5.0,0.01524355097890132,0.008177603149326954,0.022309498808475686,0.005691620919450786,5.0,0.06097420391560528,0.032710412597307816,0.08923799523390274,0.022766483677803144,5.0,0.10540144364242088,0.1008064604678723,0.10999642681696946,0.0037012589098553345,5.0,0.06034203220433092,0.05804184323038664,0.0626422211782752,0.0018528021998684768,5.0,0.04505941143808996,0.0427640158695467,0.04735480700663322,0.0018489411118568118,5.0,1.339624628706605,1.3221420248459155,1.3571072325672944,0.014082237268084196,5.0,122.28971637978903,118.12597132246648,126.45346143711157,3.3538966099250622
SmartBFT,300,200,submitEvidence,SUBMIT,5.0,0.02485490296280296,0.019257319911692564,0.030452486013913357,0.004508853102299541,5.0,0.09941961185121184,0.07702927964677025,0.12180994405565343,0.018035412409198166,5.0,0.11119324915105736,0.10455600307965936,0.11783049522245535,0.005346301656714463,5.0,0.06328957810818131,0.05997168404239446,0.06660747217396816,0.002672563643098905,5.0,0.04790367104287606,0.04458417149236767,0.051223170593384444,0.0026738568610290866,5.0,1.3219369424830822,1.3009931409994406,1.3428807439667239,0.016870231925318325,5.0,139.17400719803135,133.98944303980502,144.35857135625767,4.176166387429037
Raft,10,50,retrieveEvidenceAndLog,RETRIEVE,5.0,0.006922706739900417,0.006736981308991543,0.007108432170809291,0.0001496018330917446,5.0,0.027690826959601667,0.02694792523596617,0.028433728683237163,0.0005984073323669784,5.0,0.06702895174708819,0.06688672351731415,0.06717117997686223,0.00011456483793019514,5.0,0.030409317803660567,0.030315108963928566,0.030503526643392568,7.588521964054011e-05,5.0,0.03661963394342762,0.03656833219458993,0.03667093569226531,4.132355827294679e-05,5.0,0.8304093650378379,0.8288055107944214,0.8320132192812544,0.0012919045800722751,5.0,25.910698169717136,25.860031966927856,25.961364372506416,0.04081162593610106
Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,5.0,0.008393700338315636,0.007794809255225162,0.00899259142140611,0.00048240676257520746,5.0,0.033574801353262546,0.031179237020900648,0.03597036568562444,0.0019296270503008299,5.0,0.06663447127393839,0.06658687648747481,0.06668206606040196,3.833760011064241e-05,5.0,0.030168193172356368,0.03014462135192384,0.030191764992788896,1.8987101167345774e-05,5.0,0.03646627810158201,0.036439322693655136,0.036493233509508886,2.171258086661772e-05,5.0,0.8272902062985905,0.8268655490585953,0.8277148635385857,0.000342061403374134,5.0,42.95613921731889,38.58323259699417,47.32904583764361,3.5223762472280047
Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,5.0,0.009082771192012323,0.008797316781442166,0.00936822560258248,0.00022993352540057822,5.0,0.03633108476804929,0.03518926712576866,0.03747290241032992,0.0009197341016023129,5.0,0.07927100064762445,0.07013799897646501,0.08840400231878388,0.007356632772093542,5.0,0.035909728594461635,0.0317810598040414,0.040038397384881866,0.003325642677219549,5.0,0.043361272053162814,0.03835689336842295,0.04836565073790268,0.004031026989996157,5.0,0.8281775836751187,0.8274529228160259,0.8289022445342116,0.000583714316125746,5.0,48.69310477857683,46.31122911753477,51.07498043961889,1.918600825663648
Raft,10,200,retrieveEvidenceAndLog,RETRIEVE,5.0,0.008678781836491439,0.007466354990106793,0.009891208682876084,0.0009766098149357934,5.0,0.034715127345965754,0.029865419960427173,0.039564834731504336,0.003906439259743173,5.0,0.20782845695240781,0.15797754570713948,0.2576793681976762,0.0401549086040089,5.0,0.09886310820219837,0.07368636337616591,0.12403985302823084,0.020279867753305016,5.0,0.10896534875020943,0.08428727766806898,0.13364341983234987,0.01987818605664187,5.0,0.9032168091442785,0.8679528172618939,0.9384808010266631,0.02840514517543691,5.0,165.8936873432834,126.12173749708244,205.66563718948436,32.036305278752764
Raft,100,50,retrieveEvidenceAndLog,RETRIEVE,5.0,0.005760504454352551,0.005574036784699683,0.005946972124005419,0.00015019970639401566,5.0,0.023042017817410203,0.02229614713879873,0.023787888496021675,0.0006007988255760626,5.0,0.06576971713810316,0.06574240657204293,0.06579702770416339,2.1998660740157803e-05,5.0,0.029856905158069887,0.029838429284525795,0.029875381031613978,1.4882315990014048e-05,5.0,0.03591281198003328,0.035895430905718166,0.03593019305434839,1.4000455219945503e-05,5.0,0.8313720480730555,0.8307716875384521,0.831972408607659,0.00048359040575699094,5.0,25.392371647254574,25.356065826408653,25.428677468100496,0.029244338397120647
Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5.0,0.005033068485701011,0.004906283759095035,0.005159853212306986,0.00010212509625348956,5.0,0.020132273942804042,0.01962513503638014,0.020639412849227944,0.0004085003850139582,5.0,0.06556336386344713,0.06549500871050042,0.06563171901639385,5.506007514454243e-05,5.0,0.02976852622814321,0.029733932253436516,0.029803120202849902,2.7865446345847284e-05,5.0,0.03579483763530391,0.03574314473107367,0.03584653053953415,4.1638633938471734e-05,5.0,0.8316437394942888,0.8302818606817797,0.833005618306798,0.0010969933724377728,5.0,50.69885601998335,50.61177612202487,50.785935917941835,0.07014285709975082
