consensus,batch,tps,round_label,phase,role,cpu_avg_mean__n,cpu_avg_mean__mean,cpu_avg_mean__ci95_low,cpu_avg_mean__ci95_high,cpu_max_peak__n,cpu_max_peak__mean,cpu_max_peak__ci95_low,cpu_max_peak__ci95_high,mem_avg_mb_mean__n,mem_avg_mb_mean__mean,mem_avg_mb_mean__ci95_low,mem_avg_mb_mean__ci95_high,mem_max_mb_peak__n,mem_max_mb_peak__mean,mem_max_mb_peak__ci95_low,mem_max_mb_peak__ci95_high,traffic_in_mb_sum__n,traffic_in_mb_sum__mean,traffic_in_mb_sum__ci95_low,traffic_in_mb_sum__ci95_high,traffic_out_mb_sum__n,traffic_out_mb_sum__mean,traffic_out_mb_sum__ci95_low,traffic_out_mb_sum__ci95_high,traffic_in_mbps__n,traffic_in_mbps__mean,traffic_in_mbps__ci95_low,traffic_in_mbps__ci95_high,traffic_out_mbps__n,traffic_out_mbps__mean,traffic_out_mbps__ci95_low,traffic_out_mbps__ci95_high,disk_write_mb_sum__n,disk_write_mb_sum__mean,disk_write_mb_sum__ci95_low,disk_write_mb_sum__ci95_high,disk_write_mb_per_s__n,disk_write_mb_per_s__mean,disk_write_mb_per_s__ci95_low,disk_write_mb_per_s__ci95_high,disk_read_b_sum__n,disk_read_b_sum__mean,disk_read_b_sum__ci95_low,disk_read_b_sum__ci95_high,n_reps,throughput_mean,throughput_ci95_low,throughput_ci95_high,avg_latency_mean_ms,avg_latency_ci95_low_ms,avg_latency_ci95_high_ms,send_rate_mean,succ_total,fail_total,total_tx,fail_rate,orderer_cpu_avg_per_tps
Raft,300,200,submitEvidence,SUBMIT,orderer,5.0,1.001,0.9228641059691514,1.0791358940308484,5.0,2.216,2.0217593304789134,2.410240669521087,5.0,176.15,173.4567792218238,178.8432207781762,5.0,234.2,221.68027077609102,246.71972922390896,5.0,446.32,445.6321343107844,447.0078656892156,5.0,539.06,538.4233330088657,539.6966669911342,5.0,57.07921829116417,56.653457871752124,57.50497871057621,5.0,68.93975628811125,68.39154427646136,69.48796829976115,5.0,792.8,790.5791999999999,795.0208,5.0,12.673821468737867,12.559647178480615,12.787995758995118,5.0,0.0,0.0,0.0,5.0,191.58,190.21326042626987,192.9467395737301,2496.0,1664.0054294792544,3327.9945705207456,199.62,59921,0,59921,0.0,0.00522497129136653
SmartBFT,10,50,submitEvidence,SUBMIT,orderer,5.0,1.1245,1.091992933322122,1.157007066677878,5.0,1.6439999999999997,1.5938780150432963,1.694121984956703,5.0,88.46,87.58171290707422,89.33828709292577,5.0,114.6,113.4896,115.71039999999999,5.0,170.71999999999997,170.58400432948065,170.8559956705193,5.0,125.37600000000002,125.23510603499088,125.51689396500916,5.0,21.976484812737255,21.95412369237112,21.99884593310339,5.0,16.139425402107598,16.132424165159392,16.146426639055804,5.0,204.4,204.4,204.4,5.0,3.289007963883658,3.284203064857081,3.2938128629102352,5.0,0.0,0.0,0.0,5.0,48.36,48.29200216474034,48.42799783525966,270.0,218.0657954715777,321.9342045284223,50.059999999999995,15027,0,15027,0.0,0.023252688172043012
SmartBFT,10,100,submitEvidence,SUBMIT,orderer,5.0,1.7695,1.4754912595448904,2.06350874045511,5.0,3.682,3.4125134463020466,3.9514865536979533,5.0,126.3,122.162688863525,130.437311136475,5.0,160.2,156.1390620984802,164.26093790151978,5.0,339.9,339.72443034430745,340.0755696556925,5.0,249.234,248.8895522017838,249.57844779821622,5.0,31.145645295587013,27.855804304293876,34.43548628688015,5.0,22.836732056619486,20.443653323274958,25.229810789964013,5.0,408.0,408.0,408.0,5.0,4.673145711906745,4.1809328892634445,5.1653585345500455,5.0,0.0,0.0,0.0,5.0,68.78,61.53554411771319,76.02445588228682,18530.0,12788.959507434214,24271.040492565782,100.1,30025,0,30025,0.0,0.02572695551032277
SmartBFT,10,150,submitEvidence,SUBMIT,orderer,5.0,2.309,1.8633914682863446,2.754608531713656,5.0,8.184000000000001,6.13739694167726,10.230603058322743,5.0,150.4,144.07507421703622,156.7249257829638,5.0,181.2,164.14622967669612,198.25377032330385,5.0,580.28,489.24758218371653,671.3124178162834,5.0,440.38,356.1265295364137,524.6334704635863,5.0,76.06485864212529,39.72933478954182,112.40038249470877,5.0,57.983606663679325,28.58503247517742,87.38218085218122,5.0,612.0,612.0,612.0,5.0,9.790034513964084,6.529968296982784,13.050100730945385,5.0,0.0,0.0,0.0,5.0,74.79999999999998,74.7122151721537,74.88778482784626,40094.0,39317.18611118493,40870.81388881507,150.06,24783,20240,45023,0.4495480087955045,0.03086898395721926
SmartBFT,10,200,submitEvidence,SUBMIT,orderer,5.0,3.6525000000000007,3.272932118482083,4.032067881517919,5.0,33.712,24.632301059066776,42.79169894093323,5.0,192.25,183.18539291529964,201.31460708470036,5.0,304.0,241.3705853132891,366.6294146867109,5.0,1108.8,1014.5573552629171,1203.0426447370828,5.0,882.2,733.7724951505281,1030.627504849472,5.0,839.96491529294,569.1360371602245,1110.7937934256554,5.0,674.6279720474537,415.87588349419366,933.3800606007137,5.0,798.8,769.2333193367939,828.366680663206,5.0,75.31927321442518,51.87941832803915,98.75912810081121,5.0,0.0,0.0,0.0,5.0,98.54,97.68168162923072,99.39831837076926,32608.0,28026.149979819944,37189.850020180056,200.04,5530,54493,60023,0.9078686503506987,0.03706616602394967
SmartBFT,100,50,submitEvidence,SUBMIT,orderer,5.0,0.5599999999999999,0.4909478718648005,0.6290521281351994,5.0,1.148,0.44126943517065853,1.8547305648293413,5.0,85.22,83.9064503030338,86.5335496969662,5.0,111.8,107.37578401973863,116.22421598026136,5.0,167.74,165.59582076271596,169.88417923728406,5.0,121.59,119.42541411125362,123.75458588874639,5.0,21.979538103161396,21.737099742723483,22.221976463599308,5.0,15.932271813643927,15.677024456714648,16.187519170573207,5.0,186.4,186.4,186.4,5.0,3.053114143094842,3.0466711908658253,3.059557095323859,5.0,0.0,0.0,0.0,5.0,49.220000000000006,49.11613159094316,49.32386840905685,1356.0,1244.4061811030735,1467.5938188969265,50.1,15025,0,15025,0.0,0.011377488825680616
SmartBFT,100,100,submitEvidence,SUBMIT,orderer,5.0,1.8259999999999998,1.713717748793498,1.9382822512065017,5.0,2.8579999999999997,2.4341347062284995,3.2818652937715,5.0,113.3,111.85421293407362,114.74578706592638,5.0,156.0,154.47952218036565,157.52047781963435,5.0,331.76000000000005,331.57172251966847,331.9482774803316,5.0,239.82,239.63070203804585,240.00929796195413,5.0,42.801153705245625,42.68657087840719,42.91573653208406,5.0,30.93975766860949,30.85244324418879,31.027072093030192,5.0,372.4,372.4,372.4,5.0,6.005531390507909,5.98698987977114,6.024072901244678,5.0,0.0,0.0,0.0,5.0,96.84,96.5410156499079,97.1389843500921,1022.0,943.777856434383,1100.222143565617,100.08,30025,0,30025,0.0,0.018855844692275917
SmartBFT,100,150,submitEvidence,SUBMIT,orderer,5.0,3.0255,2.638577728188206,3.4124222718117942,5.0,5.754,4.546947444550984,6.961052555449015,5.0,127.65,126.34056341887054,128.95943658112947,5.0,165.8,161.55353654907995,170.04646345092007,5.0,495.5400000000001,494.4484988274858,496.63150117251433,5.0,357.394,356.57235089323,358.21564910677,5.0,63.4317679525242,63.08693830385701,63.77659760119138,5.0,45.74829865047155,45.51341458906745,45.98318271187564,5.0,559.2,556.9792,561.4208000000001,5.0,8.947520128575496,8.91003768251407,8.985002574636923,5.0,0.0,0.0,0.0,5.0,144.06,143.52171362863248,144.59828637136752,1268.0,1068.707172472264,1467.292827527736,150.02,45017,0,45017,0.0,0.021001665972511453
SmartBFT,100,200,submitEvidence,SUBMIT,orderer,5.0,3.1105,2.8295765493163665,3.3914234506836336,5.0,8.214,7.066010716593574,9.361989283406427,5.0,144.5,140.90725108030077,148.09274891969923,5.0,180.0,173.98177541130278,186.01822458869722,5.0,655.76,653.6447681485,657.8752318515,5.0,472.054,470.8951538208994,473.21284617910055,5.0,65.86795433111148,63.76738676483994,67.96852189738301,5.0,47.41582514344263,45.89080112605839,48.94084916082687,5.0,741.6,738.8800865896136,744.3199134103864,5.0,9.311180596919783,9.019445740020561,9.602915453819005,5.0,0.0,0.0,0.0,5.0,150.22,145.3241558613044,155.1158441386956,27424.0,24316.992460502228,30531.007539497772,199.1,59821,0,59821,0.0,0.020706297430435363
SmartBFT,300,50,submitEvidence,SUBMIT,orderer,5.0,0.907,0.8506875553363202,0.9633124446636798,5.0,1.89,1.723671494204992,2.056328505795008,5.0,87.11,86.06171535468653,88.15828464531347,5.0,116.2,112.75507459587294,119.64492540412706,5.0,174.18,171.47087430664433,176.88912569335568,5.0,128.044,125.2428853192031,130.8451146807969,5.0,22.721645257903496,22.3665325129245,23.076758002882492,5.0,16.70323221297837,16.337630470703736,17.068833955253005,5.0,186.16,185.88800865896135,186.43199134103864,5.0,3.0355540765391016,3.0285402008013755,3.0425679522768276,5.0,0.0,0.0,0.0,5.0,49.0,48.91221517215372,49.08778482784628,1538.0,1369.736841156479,1706.263158843521,50.1,15025,0,15025,0.0,0.018510204081632654
