scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
SmartBFT_b100_tps100_ord10,5,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,7.97,0.51,4.29,93.8,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,4.29,6005,0.0
SmartBFT_b100_tps100_ord4,1,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.42,0.41,2.05,96.8,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.05,6005,0.0
SmartBFT_b100_tps100_ord4,1,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.26,0.34,1.87,97.0,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.87,6005,0.0
SmartBFT_b100_tps100_ord4,2,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.69,0.31,2.11,98.7,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.11,6005,0.0
SmartBFT_b100_tps100_ord4,2,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.13,0.33,1.83,97.9,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.83,6005,0.0
SmartBFT_b100_tps100_ord4,3,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.48,0.31,2.04,97.0,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.04,6005,0.0
SmartBFT_b100_tps100_ord4,3,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.17,0.25,1.87,97.3,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.87,6005,0.0
SmartBFT_b100_tps100_ord4,4,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.59,0.44,2.03,97.4,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.03,6005,0.0
SmartBFT_b100_tps100_ord4,4,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.43,0.24,2.02,98.6,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.02,6005,0.0
SmartBFT_b100_tps100_ord4,5,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.99,0.27,1.81,96.4,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.81,6005,0.0
SmartBFT_b100_tps100_ord4,5,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.05,0.2,1.71,96.5,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.71,6005,0.0
SmartBFT_b100_tps100_ord7,1,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.78,0.51,2.91,96.9,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.91,6005,0.0
SmartBFT_b100_tps100_ord7,1,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.95,0.42,2.24,97.1,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.24,6005,0.0
SmartBFT_b100_tps100_ord7,2,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,3.5,0.29,2.06,98.0,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.06,6005,0.0
SmartBFT_b100_tps100_ord7,2,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.49,0.29,1.98,97.5,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,1.98,6005,0.0
SmartBFT_b100_tps100_ord7,3,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.78,0.47,2.64,96.4,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.64,6005,0.0
SmartBFT_b100_tps100_ord7,3,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.62,0.28,2.05,96.2,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.05,6005,0.0
SmartBFT_b100_tps100_ord7,4,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.58,0.53,2.85,96.1,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.85,6005,0.0
SmartBFT_b100_tps100_ord7,4,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.02,0.37,2.24,97.9,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.24,6005,0.0
SmartBFT_b100_tps100_ord7,5,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,3.89,0.33,2.27,97.4,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.27,6005,0.0
SmartBFT_b100_tps100_ord7,5,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.71,0.31,2.09,98.3,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.09,6005,0.0
