consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,1,orderer,10,1.7479656,627.596,691.221,1175.9950000000001,60,83.67946666666667,92.1628
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,1,peer,2,17.615862,268.998,208.11200000000002,129.588,60,35.8664,27.74826666666667
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,2,ca,3,0.0010343333333333333,0.003,0.0,0.0,60,0.0004,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,2,chaincode,2,8.255862,40.984,30.314529999999998,0.0,60,5.464533333333334,4.041937333333333
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,2,couchdb,2,20.760862,36.046,14.686,54.129999999999995,60,4.806133333333333,1.9581333333333333
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,2,orderer,10,1.9550688999999999,627.186,690.631,1175.903,60,83.62480000000001,92.08413333333333
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,2,peer,2,19.3018965,269.002,208.017,129.588,60,35.866933333333336,27.735599999999998
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,3,ca,3,0.00011499999999999999,0.0045000000000000005,0.0,0.0,60,0.0006000000000000001,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,3,chaincode,2,7.900517,40.986,30.3138,0.0,60,5.464799999999999,4.04184
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,3,couchdb,2,20.938276000000002,36.043,14.684,53.93000000000001,60,4.805733333333333,1.9578666666666666
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,3,orderer,10,1.8872759,626.967,690.741,1175.8990000000001,60,83.5956,92.0988
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,3,peer,2,20.09569,269.006,208.019,129.588,60,35.867466666666665,27.735866666666666
