consensus,batch,tps,fault_profile,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,high-impact,submitEvidence,UNSPLIT,5,chaincode,2,7.446,40.881,30.3109,0.0,60,5.4508,4.041453333333333
Raft,100,100,high-impact,submitEvidence,UNSPLIT,5,couchdb,2,20.4688335,36.239999999999995,14.863999999999999,61.93000000000001,60,4.831999999999999,1.9818666666666664
Raft,100,100,high-impact,submitEvidence,UNSPLIT,5,orderer,10,1.6034,539.452,609.756,978.261,60,71.92693333333334,81.3008
Raft,100,100,high-impact,submitEvidence,UNSPLIT,5,peer,2,17.401833500000002,270.08000000000004,208.09699999999998,130.788,60,36.01066666666667,27.746266666666664
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.0025556666666666666,0.0031000000000000003,0.0,0.0,60,0.00041333333333333337,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,6.4466665,24.754,26.8492,0.0,60,3.3005333333333335,3.579893333333333
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,18.7298335,20.5,25.259999999999998,50.8,60,2.7333333333333334,3.368
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,1,orderer,10,1.4110331999999999,434.8,484.78999999999996,782.0,60,57.973333333333336,64.63866666666667
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,1,peer,2,16.5231665,227.8,151.2,108.6,60,30.373333333333335,20.16
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,2,ca,3,0.00047633333333333333,0.0158,0.0,0.0,60,0.002106666666666667,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,2,chaincode,2,7.0505355000000005,23.751,26.5482,0.0,60,3.1668000000000003,3.5397600000000002
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,2,couchdb,2,20.962857,20.6,25.46,51.6,60,2.746666666666667,3.3946666666666667
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,2,orderer,10,1.5225,592.9,494.38,1070.0,60,79.05333333333333,65.91733333333333
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,2,peer,2,17.026428499999998,225.8,149.1,108.6,60,30.10666666666667,19.88
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,3,ca,3,0.004222333333333334,0.0019,0.0,0.0,60,0.00025333333333333333,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,3,chaincode,2,6.7798335,24.686,26.8864,0.0,60,3.2914666666666665,3.5848533333333332
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,3,couchdb,2,19.346666499999998,20.5,25.259999999999998,50.6,60,2.7333333333333334,3.368
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,3,orderer,10,1.5101,433.5,482.74,782.0,60,57.8,64.36533333333334
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,3,peer,2,17.429333,226.9,150.3,108.6,60,30.253333333333334,20.040000000000003
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,4,ca,3,0.0,0.0007,0.0,0.0,60,9.333333333333333e-05,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,4,chaincode,2,6.875,24.768,26.9658,0.0,60,3.3024,3.5954400000000004
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,4,couchdb,2,19.7661665,20.5,25.36,50.8,60,2.7333333333333334,3.381333333333333
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,4,orderer,10,1.5642334,434.6,483.77,782.0,60,57.94666666666667,64.50266666666667
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,4,peer,2,17.8666665,227.9,151.3,108.6,60,30.386666666666667,20.173333333333336
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,5,ca,3,0.004222333333333333,0.0057,0.0,0.0,60,0.00076,0.0
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,5,chaincode,2,6.6231665,24.751,26.8491,0.0,60,3.3001333333333336,3.57988
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,5,couchdb,2,19.8196665,20.5,25.36,51.0,60,2.7333333333333334,3.381333333333333
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,5,orderer,10,1.4393999,434.3,482.85,782.0,60,57.906666666666666,64.38000000000001
Raft,100,100,limited-impact,retrieveEvidenceAndLog,UNSPLIT,5,peer,2,17.3701665,228.8,150.1,108.6,60,30.506666666666668,20.013333333333332
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,1,ca,3,0.0022223333333333335,0.0046,0.0,0.0,60,0.0006133333333333334,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,1,chaincode,2,7.214,41.082,30.3102,0.0,60,5.4776,4.04136
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,1,couchdb,2,19.5846665,36.041,14.863999999999999,61.730000000000004,60,4.805466666666666,1.9818666666666664
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,1,orderer,10,1.671,548.12,610.791,996.6220000000001,60,73.08266666666667,81.4388
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,1,peer,2,17.5965,269.99,208.013,130.788,60,35.998666666666665,27.73506666666667
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,2,ca,3,0.006555666666666667,0.0037999999999999996,0.0,0.0,60,0.0005066666666666667,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,2,chaincode,2,7.38,41.013,30.3336,0.0,60,5.4684,4.04448
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,2,couchdb,2,19.713,36.245000000000005,14.866,61.93000000000001,60,4.832666666666667,1.9821333333333333
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,2,orderer,10,1.6960666,548.953,611.622,996.618,60,73.19373333333333,81.5496
