scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b10_tps200,2,RETRIEVE,Raft,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3293,8708,199.7,61.34,0.21,38.94,99.7,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,38940.0
Raft_b10_tps200,3,RETRIEVE,Raft,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3190,8815,200.1,61.27,0.28,40.2,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,40200.0
Raft_b10_tps200,4,RETRIEVE,Raft,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3390,8607,199.9,61.48,0.24,40.53,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,40530.0
Raft_b10_tps200,5,RETRIEVE,Raft,10,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3430,8575,200.1,60.44,0.25,39.92,99.8,Raft_b10_tps200_summary_metrics.csv,Raft_b10_tps200,39920.0
Raft_b100_tps50,1,SUBMIT,Raft,100,50,submitEvidence,submitEvidence,3007,0,50.0,2.55,0.46,1.47,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1470.0
Raft_b100_tps50,2,SUBMIT,Raft,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.26,0.27,1.27,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1270.0
Raft_b100_tps50,3,SUBMIT,Raft,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.26,0.26,1.26,48.4,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1260.0
Raft_b100_tps50,4,SUBMIT,Raft,100,50,submitEvidence,submitEvidence,3005,0,50.1,2.35,0.34,1.34,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1340.0
Raft_b100_tps50,5,SUBMIT,Raft,100,50,submitEvidence,submitEvidence,3006,0,50.0,2.48,0.35,1.41,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1410.0
Raft_b100_tps50,1,RETRIEVE,Raft,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.33,0.21,1.21,48.2,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1210.0
